Participant,Style.1,Sentences.1,Style.2,Sentences.2,Style.3,Sentences.3,Style.4,Sentences.4
px,S1,"33,2,15,38,6,19,32,4,22,28,7,1",S2,"33,2,15,38,6,19,32,4,22,28,7,1",W1,"33,2,15,38,6,19,32,4,22,28,7,1",W2,"33,2,15,38,6,19,32,4,22,28,7,1"
p0,S0,"35,24,36",S1,"35,24,36",S2,"35,24,36",W1,"35,24,36"
p901,S1,"33,2,15",W1,"38,6,19",S2,"32,4,22",W2,"28,7,1"
p902,S2,"33,2,15",W2,"38,6,19",S1,"32,4,22",W1,"28,7,1"
p903,W1,"33,2,15",S1,"38,6,19",W2,"32,4,22",S2,"28,7,1"
p904,W2,"33,2,15",S2,"38,6,19",W1,"32,4,22",S1,"28,7,1"
p905,S1,"33,2,15",W1,"38,6,19",S2,"32,4,22",W2,"28,7,1"
p906,S2,"33,2,15",W2,"38,6,19",S1,"32,4,22",W1,"28,7,1"
p907,W1,"33,2,15",S1,"38,6,19",W2,"32,4,22",S2,"28,7,1"
p908,W2,"33,2,15",S2,"38,6,19",W1,"32,4,22",S1,"28,7,1"
p909,S1,"33,2,15",W1,"38,6,19",S2,"32,4,22",W2,"28,7,1"
p910,S2,"33,2,15",W2,"38,6,19",S1,"32,4,22",W1,"28,7,1"
p911,W1,"33,2,15",S1,"38,6,19",W2,"32,4,22",S2,"28,7,1"
p912,W2,"33,2,15",S2,"38,6,19",W1,"32,4,22",S1,"28,7,1"
p913,S1,"33,2,15",W1,"38,6,19",S2,"32,4,22",W2,"28,7,1"
p914,S2,"33,2,15",W2,"38,6,19",S1,"32,4,22",W1,"28,7,1"
p915,W1,"33,2,15",S1,"38,6,19",W2,"32,4,22",S2,"28,7,1"
p916,W2,"33,2,15",S2,"38,6,19",W1,"32,4,22",S1,"28,7,1"
