Participant,Style,Word-Recall,Words-Max,Seen-Sentence-Recall,Seen-Sentences-Max,Unseen-Sentence-Recall,Unseen-Sentences-Max
p901,S1,0,8,1,8,0,6
p901,S2,0,8,0,8,0,6
p901,W1,0,8,0,8,0,6
p901,W2,0,8,0,8,0,6
p902,S1,1,8,2,8,0,6
p902,S2,0,8,2,8,0,6
p902,W1,0,8,0,8,0,6
p902,W2,0,8,0,8,0,6
p903,S1,4,8,4,8,2,6
p903,S2,0,8,0,8,0,6
p903,W1,2,8,6,8,3,6
p903,W2,0,8,0,8,0,6
p904,S1,3,8,6,8,4,6
p904,S2,3,8,5,8,3,6
p904,W1,1,8,6,8,0,6
p904,W2,0,8,0,8,0,6
p905,S1,0,8,0,8,0,6
p905,S2,0,8,0,8,0,6
p905,W1,0,8,0,8,0,6
p905,W2,0,8,0,8,0,6
p906,S1,0,8,3,8,0,6
p906,S2,2,8,5,8,0,6
p906,W1,0,8,0,8,0,6
p906,W2,0,8,0,8,0,6
p907,S1,2,8,4,8,0,6
p907,S2,1,8,3,8,2,6
p907,W1,0,8,2,8,0,6
p907,W2,1,8,3,8,1,6
p908,S1,1,8,3,8,1,6
p908,S2,0,8,0,8,0,6
p908,W1,0,8,3,8,1,6
p908,W2,0,8,0,8,0,6
p909,S1,2,8,4,8,3,6
p909,S2,3,8,7,8,2,6
p909,W1,1,8,2,8,0,6
p909,W2,1,8,5,8,2,6
p910,S1,4,8,5,8,2,6
p910,S2,1,8,3,8,0,6
p910,W1,1,8,3,8,2,6
p910,W2,2,8,6,8,2,6
p911,S1,5,8,8,8,6,6
p911,S2,2,8,3,8,2,6
p911,W1,3,8,8,8,5,6
p911,W2,3,8,5,8,5,6
p912,S1,1,8,0,8,0,6
p912,S2,2,8,0,8,0,6
p912,W1,0,8,0,8,0,6
p912,W2,0,8,0,8,0,6
