Timestamp,Participant,Style,Challenges,DifficultToUnderstand,Confusing,EasyToRemember,AbsorbedInLearning,Enjoyable,FreeRecall,Session,FreeRecall-Immediate,FreeRecall-Delayed-Content,FreeRecall-Delayed
,p1001,S1,no,2,2,7,6,6,,1,7,,0
,p1001,S2,,1,1,6,6,6,,3,7,,0
,p1001,W1,,3,1,4,5,5,,2,6,,0
,p1001,W2,,3,2,4,4,5,,4,6,,1
,p1002,S2,,4,3,3,5,5,,1,7,,0
,p1002,W2,difficult to focus,5,5,3,3,5,,2,3,,0
,p1002,S1,,4,3,5,6,6,,3,5,,0
,p1002,W1,,5,5,4,4,5,,4,4,,0
,p1003,W1,,2,1,5,7,7,,1,3,,2
,p1003,S1,,3,2,4,7,7,,2,6,,1
,p1003,W2,,4,1,3,7,7,,3,3,,0
,p1003,S2,,2,1,6,7,7,,4,5,,2
,p1004,W2,Multi tasking was a bit troublesome,6,6,2,4,4,,1,3,,0
,p1004,S2,It was better,2,2,6,6,6,,2,4,,1
,p1004,W1,This time was harder,5,5,3,2,3,,3,2,,0
,p1004,S1,It was easier,2,2,6,6,6,,4,5,,2
